,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,name,url,wikipedia
1,2,3,4,6,7,9,10,11,12,13,15,16,17,18,19,20,21,22,335,Niro Higuchi,http://www.abc.org.br/membro/niro-higuchi/,
2,3,4,5,7,8,10,11,12,13,14,16,17,18,19,20,21,22,23,339,Omar Abdel Moneim Abou El Seoud,http://www.abc.org.br/membro/omar-abdel-moneim-abou-el-seoud/,
3,4,5,6,8,9,11,12,13,14,15,17,18,19,20,21,22,23,24,340,Oscar Manoel Loureiro Malta,http://www.abc.org.br/membro/oscar-manoel-loureiro-malta/,
4,5,6,7,9,10,12,13,14,15,16,18,19,20,21,22,23,24,25,349,Paulo Antônio de Souza Mourão,http://www.abc.org.br/membro/paulo-antonio-de-souza-mourao/,
5,6,7,8,10,11,13,14,15,16,17,19,20,21,22,23,24,25,26,358,Paulo Sérgio Lacerda Beirão,http://www.abc.org.br/membro/paulo-sergio-lacerda-beirao/,
6,7,8,9,11,12,14,15,16,17,18,20,21,22,23,24,25,26,27,362,Pedro Fernando da Costa Vasconcelos,http://www.abc.org.br/membro/pedro-fernando-da-costa-vasconcelos/,
7,8,9,10,12,13,15,16,17,18,19,21,22,23,24,25,26,27,28,367,Protásio Lemos da Luz,http://www.abc.org.br/membro/protasio-lemos-da-luz/,
8,9,10,11,13,14,16,17,18,19,20,22,23,24,25,26,27,28,29,374,Renato Machado Cotta,http://www.abc.org.br/membro/renato-machado-cotta/,
9,10,11,12,14,15,17,18,19,20,21,23,24,25,26,27,28,29,30,378,Ricardo Gattass,http://www.abc.org.br/membro/ricardo-gattass/,
10,11,12,13,15,16,18,19,20,21,22,24,25,26,27,28,29,30,31,391,Roberto Manuel Torresi,http://www.abc.org.br/membro/roberto-manuel-torresi/,
11,12,13,14,16,17,19,20,21,22,23,25,26,27,28,29,30,31,32,409,Said Najati Sidki,http://www.abc.org.br/membro/said-najati-sidki/,
12,13,14,15,17,18,20,21,22,23,24,26,27,28,29,30,31,32,33,429,Sylvio Roberto Accioly Canuto,http://www.abc.org.br/membro/sylvio-roberto-accioly-canuto/,
13,14,15,16,18,19,21,22,23,24,25,27,28,29,30,31,32,33,34,443,Virgílio Augusto Fernandes Almeida,http://www.abc.org.br/membro/virgilio-augusto-fernandes-almeida/,
14,15,16,17,19,20,22,23,24,25,26,28,29,30,31,32,33,34,35,447,Wagner Farid Gattaz,http://www.abc.org.br/membro/wagner-farid-gattaz/,
